date,average_difficulty,tx_count,tx_volume,heuristical_volume,median_tx_value,active_addresses,fees,median_fee,payment_count,reward,block_size,block_count
2014-07-14,3055.48019817,1328,15449666283594,12013762947240,400080000,3953,274244259,100000,2570,304174244259,1240956,546
2014-07-15,2999.07629058,1349,10438824666803,7640005024222,400000000,3507,204904153,100000,2585,312104904153,1169847,554
2014-07-16,2841.09769154,1335,20419633962388,15766118784329,370487410,3586,213668235,100000,3337,327113668235,1334797,548
2014-07-17,3061.8818425,1546,31609259494067,23008927862094,399900000,3993,282666647,100000,3184,303382666646,1508658,549
2014-07-18,3738.99578715,1282,26048910155017,20766079817317,395024036,3624,195420479,100000,2880,293195420479,1117776,559
2014-07-19,3357.09630008,1159,5492213806347,4437222850915,331396555,3320,159667083,100000,2821,306059667083,1042913,543
2014-07-20,4078.60189653,1114,7558569495024,6551296684779,328308040,3451,162582884,100000,2559,276462582884,1073576,539
2014-07-21,3601.92470417,1281,17209743462635,13229432600545,399900000,3448,189375211,100000,1923,287389375211,898531,555
2014-07-22,3669.1143883,1365,8835240068864,8372619467950,337844504,3656,178964269,100000,1962,275078964269,1340142,543
2014-07-23,3682.04434571,1140,15014170887108,9999881180940,368870256,3080,155906864,100000,2119,284255906864,1048350,557
2014-07-24,3668.8646485,1056,7961245297149,6593867115195,399900000,2853,188911275,100000,1831,279588911275,872033,544
2014-07-25,3166.84360476,1147,111626376659524,14332670814154,400000000,3401,201139120,100000,2434,298301139119,1041646,548
2014-07-26,3372.05399368,1060,32028842431727,17334453565831,399900000,3016,154095348,100000,1787,287554095348,898624,550
2014-07-27,3784.2078004,1067,21011987097067,7366435259859,389138723,2825,118547717,100000,1562,285918547717,978272,549
2014-07-28,3928.80603211,1240,16415213993598,8762524927181,400000000,3642,230541376,100000,2258,277130541376,1260786,553
2014-07-29,3449.11967275,1234,55376687529168,52472360791945,400000000,3348,182388496,100000,1824,281682388496,881666,546
2014-07-30,3021.32298411,1287,63851295533462,57555885096530,400000000,3825,281760414,100000,2540,306781760414,1449963,557
2014-07-31,2748.13635195,1291,11598896497342,7285736186859,357492657,3564,227480200,100000,2779,321327480200,1490607,538
2014-08-01,2704.93639129,1382,11953221155458,8242170485829,390354219,3967,257737889,100000,2680,349657737889,1182038,560
2014-08-02,3090.43049582,1130,8970774455522,6025292918975,377083328,3205,145788271,100000,2677,303645788271,1142881,548
2014-08-03,3647.60020302,1094,11217639030312,8102297703821,400000000,3186,212564681,100000,1813,284712564681,1173660,553
2014-08-04,4187.24255041,1042,6635293262011,5892299827170,399900000,2997,150758942,100000,2289,275850758942,1022166,547
2014-08-05,4427.17613908,971,46157496245161,45792159003835,400000000,2719,149601605,100000,1451,276649601605,993656,553
2014-08-06,5264.15587231,961,6531806198657,5316467867746,399900000,3070,235988539,100000,1661,271735988539,1369474,543
2014-08-07,3869.54843673,1008,6451899535357,4801962319054,399900000,3022,141544056,100000,2029,277941544056,1001542,547
2014-08-08,4633.82445923,1050,373448015010084,47752504979858,400000000,3002,157003468,100000,1980,277957003468,940238,554
2014-08-09,4379.96716098,954,5685749210714,5434350157595,399980000,2626,126848243,100000,1750,276126848243,810238,552
2014-08-10,4560.0579437,989,193951204070020,41573892968251,400000000,2737,132074937,100000,1859,272132074937,745415,542
2014-08-11,4228.4793166,1035,42442110450871,41034774605749,379436774,3037,171894986,100000,2219,276971894986,1216735,552
2014-08-12,3998.53692857,980,2132084391591,2001783765332,365636657,2827,107968291,100000,1737,278307968291,830981,544
2014-08-13,4018.93053803,1469,28987938541982,11937865509002,400000000,7836,293670155,100000,7225,284393670155,2193744,554
2014-08-14,4491.65768226,1892,32096586724693,15629556180541,450180000,14248,511409967,100000,12923,277211409967,3428589,553
2014-08-15,4059.27833126,1771,54324920181093,27189442540210,450180000,11020,1449325930,100000,8627,274349325930,3214874,542
2014-08-16,4391.28331876,1419,48736245922547,27826392497090,400080000,8145,2374794736,100000,5940,278874794736,2350526,553
2014-08-17,4010.25779474,1522,38167578052075,26810357595994,400080000,7494,4655359322,100000,5278,279455359322,2217710,549
2014-08-18,3481.12569645,1800,124362677713705,95889754892928,507999143,9895,7974846115,100000,5000,293074846115,2356134,550
2014-08-19,3361.55550282,1585,99788417098676,62979057966986,450225000,6101,666509349,100000,4686,287366509349,1650225,550
2014-08-20,3876.77032098,1470,57889589387712,25235908405023,400070000,3921,309902300,100000,2526,276109902300,1252358,546
2014-08-21,3554.37854734,1296,166747753432244,33098181605326,400000000,3671,267998627,100000,2438,281567998627,1072060,553
2014-08-22,3468.05751533,1320,261094612680026,25558873398023,430708371,4193,727091393,100000,3039,281727091393,1413861,548
2014-08-23,3530.48977716,1235,17856273893382,9645993268418,402120000,5238,255190129,100000,5061,282055190128,1640117,550
2014-08-24,3645.65650131,1041,25912873780233,18030714148576,401251539,3646,205965627,100000,2616,284005965627,1341336,559
2014-08-25,3647.91433448,1014,11979998724655,11226396127019,400000000,2914,182770008,100000,1797,277682770008,1062677,543
2014-08-26,3828.47170505,987,28453159061194,14126404395585,400000000,2778,186353967,100000,2159,281486353967,796713,551
2014-08-27,3272.8133602,1063,36644817058247,18122428142620,419596789,3023,229790001,100000,2149,290829790001,1051910,548
2014-08-28,3032.13935154,1051,74610699571417,17533264590858,400000000,2927,213835488,100000,1921,302413835488,1180491,551
2014-08-29,3146.59454599,985,25924751413878,16772531231156,400000000,2979,193410000,100000,2184,300593410000,879572,550
2014-08-30,2960.8588298,1095,11560855772229,8344832675817,400000000,3000,180500000,100000,1885,303980500000,962208,547
2014-08-31,2913.74440594,1065,6644577940266,5674245660919,400000000,2979,237570102,100000,1884,315437570102,1281403,546
2014-09-01,2837.7513758,1106,5347060115217,4205366140350,380151995,2992,195413000,100000,2402,325495413000,1067922,554
2014-09-02,2838.36822543,1078,8522667987540,6882178355434,390869255,3005,167014002,100000,2025,321367014002,907548,550
2014-09-03,2907.21056402,1222,23815693880634,10955870209244,400000000,3409,220662006,100000,2680,314320662006,879804,554
2014-09-04,3174.43680845,1286,15126661427219,11478877186704,400000000,3597,217109898,100000,2212,288517109898,1179889,549
2014-09-05,3244.30347976,1129,15810684783802,11628501543603,400000000,3118,184859525,100000,1881,285384859525,989827,547
2014-09-06,3182.51947427,1104,100820705491649,15131479046472,400080000,2837,165740856,100000,1621,298365740856,896175,556
2014-09-07,3477.00802212,866,4784296706230,4044377020106,400000000,2606,120124900,100000,1595,277820124900,826514,547
